node_id,x,y
154783596,-82.3801171,38.4122139
154783600,-82.380154,38.4135059
154783602,-82.380176,38.4141328
154783618,-82.3893855,38.4049606
154783644,-82.3893251,38.4037715
154783652,-82.4581077,38.4057341
154783707,-82.4473353,38.4060241
154783745,-82.4420084,38.4065218
154783749,-82.441643,38.4065932
154785112,-82.410552,38.4315
154785113,-82.4071403,38.4320956
154785114,-82.4051515,38.432442
154785591,-82.4041217,38.4052672
154785593,-82.4040967,38.403115
154785597,-82.4040722,38.4014888
154785599,-82.4040015,38.3997036
154785630,-82.4270149,38.4077577
154785635,-82.4279891,38.4075832
154785649,-82.4280629,38.4199746
154785652,-82.4271272,38.4201342
154785660,-82.4202764,38.4213108
154785663,-82.418525,38.4216823
154785677,-82.3856264,38.4303651
154785679,-82.3858463,38.429403
154785681,-82.3865604,38.426375
154785684,-82.3868055,38.4253431
154785686,-82.3868293,38.4252536
154785689,-82.3872276,38.4236025
154785691,-82.387461,38.4226343
154785693,-82.3876633,38.4217944
154785696,-82.3879217,38.4207372
154785791,-82.3871351,38.4094028
154785792,-82.3866885,38.4098757
154785793,-82.3864874,38.4101983
154785794,-82.3862708,38.4096666
154785801,-82.4343427,38.3968527
154785817,-82.4060728,38.4030842
154785828,-82.4007889,38.4044514
154785834,-82.4007154,38.4053831
154785838,-82.4008358,38.4061823
154785857,-82.4007594,38.409045
154785871,-82.4003919,38.4105824
154785887,-82.4943262,38.4103906
154785889,-82.4938636,38.4093135
154785891,-82.4934249,38.408296
154785896,-82.4927511,38.408475
154785898,-82.4925358,38.4077585
154785900,-82.4925184,38.4076767
154785902,-82.4924734,38.4075108
154785904,-82.4922503,38.406829
154786019,-82.4092525,38.4209663
154786023,-82.4090779,38.4203683
154786025,-82.4089079,38.4197357
154786033,-82.4082917,38.4189027
154786048,-82.4070441,38.4176956
154786052,-82.40646,38.4173471
154786060,-82.4051106,38.4164612
154786064,-82.4039914,38.4159605
154786066,-82.4032927,38.4156579
154786067,-82.4028415,38.4154572
154786076,-82.4021709,38.4146922
154786084,-82.4015956,38.4138043
154786086,-82.4010819,38.4127325
154786094,-82.4002877,38.4102719
154786100,-82.3999293,38.4095831
154786102,-82.3995584,38.409128
154786113,-82.4018248,38.4348392
154786115,-82.402191,38.4338804
154786117,-82.4025542,38.4329252
154786118,-82.402767,38.4323572
154786119,-82.4029648,38.4317395
154786120,-82.4034441,38.4316543
154786122,-82.403092,38.4304099
154786124,-82.4023801,38.4278917
154786126,-82.4015842,38.4248365
154786129,-82.4852923,38.4127265
